tender_id,tender_date,category,region,procurement_method,vendor_id,bidder_ids,num_bidders,tender_value,estimated_market_value,bid_amount,bid_rank,award_value,final_contract_value,contract_duration_months,bids,is_anomaly,anomaly_types,previous_participations,previous_wins,vendor_win_rate,post_award_change_pct,bid_to_tender_ratio,bid_to_market_ratio
T09687,2022-01-02,Transport,Central,open,V0331,V0056|V0171|V0331|V0358,4,1674.7,1582.2,1475.21,1,1469.64,1454.77,10,V0056:1680.26|V0171:1513.25|V0331:1475.21|V0358:1719.44,0,,0,0,,-1.0118124166462616,0.8808801576401744,0.9323789659967134
T00422,2022-01-03,Medical Supplies,North,negotiated,V0292,V0044|V0106|V0243|V0292,4,291.2,300.21,258.25,1,256.79,255.62,25,V0044:305.75|V0106:266.27|V0243:294.08|V0292:258.25,0,,2,0,0.0,-0.4556252190505922,0.8868475274725275,0.8602311715132741
T00539,2022-01-03,Transport,Central,open,V0180,V0064|V0092|V0103|V0146|V0180|V0337,6,705.84,753.39,643.97,1,643.59,690.98,12,V0064:728.50|V0092:729.19|V0103:716.18|V0146:707.60|V0180:643.97|V0337:714.44,0,,0,0,,7.363383520564332,0.9123455740677774,0.8547631372861334
T00713,2022-01-03,Medical Supplies,North,open,V0078,V0078|V0118,2,156.78,161.55,162.12,1,162.12,161.86,14,V0078:162.12|V0118:164.17,1,low_bid_count,0,0,,-0.16037503084134647,1.0340604668962878,1.0035283194057567
T01991,2022-01-03,Consulting,West,open,V0121,V0019|V0121|V0202|V0252|V0269|V0317|V0377,7,181.14,194.52,161.4,1,164.08,163.85,23,V0019:172.40|V0121:161.40|V0202:186.53|V0252:164.55|V0269:172.50|V0317:181.13|V0377:167.73,0,,0,0,,-0.14017552413457957,0.8910235177210998,0.8297347316471314
T02911,2022-01-03,IT Services,Central,open,V0335,V0054|V0163|V0255|V0302|V0335,5,278.19,276.24,258.63,1,263.27,270.48,26,V0054:264.63|V0163:264.12|V0255:287.34|V0302:279.55|V0335:258.63,0,,0,0,,2.7386333421962386,0.9296883424997304,0.9362510860121633
T03427,2022-01-03,Construction,West,restricted,V0277,V0215|V0245|V0277,3,579.93,586.92,523.86,1,530.76,552.86,19,V0215:585.92|V0245:588.17|V0277:523.86,0,,0,0,,4.163840530559956,0.9033159174383116,0.8925577591494582
T03970,2022-01-03,Construction,East,open,V0155,V0155|V0267,2,2113.46,2172.55,2058.43,1,2058.43,2116.38,27,V0155:2058.43|V0267:2109.70,1,low_bid_count,0,0,,2.815252401101824,0.9739621284528687,0.9474718648592666
T05214,2022-01-03,IT Services,Central,open,V0262,V0141|V0217|V0262|V0302|V0336,5,196.77,211.47,173.45,1,174.68,173.14,34,V0141:184.58|V0217:196.95|V0262:173.45|V0302:189.68|V0336:183.19,0,,1,0,0.0,-0.8816120906801124,0.8814859988819432,0.8202109046200406
T05867,2022-01-03,Medical Supplies,West,open,V0245,V0085|V0245|V0317,3,529.01,509.29,495.3,1,491.6,500.57,34,V0085:542.49|V0245:495.30|V0317:541.38,0,,0,0,,1.8246541903986921,0.9362771970284116,0.9725303854385517
T06012,2022-01-03,IT Services,North,open,V0176,V0072|V0176|V0196|V0198|V0217|V0218|V0223|V0316,8,356.49,382.81,318.71,1,321.31,326.07,13,V0072:367.00|V0176:318.71|V0196:328.41|V0198:355.85|V0217:362.50|V0218:330.40|V0223:353.84|V0316:361.31,0,,0,0,,1.4814353739379387,0.8940222727145221,0.8325540085159739
T07430,2022-01-03,Medical Supplies,Central,open,V0022,V0022|V0159|V0193|V0199|V0290|V0348|V0382,7,368.91,342.17,141.89,1,141.89,142.6,23,V0022:141.89|V0159:146.15|V0193:150.40|V0199:154.66|V0290:158.92|V0348:163.17|V0382:167.43,1,price_deviation,0,0,,0.5003876242159475,0.38461955490499034,0.41467691498377995
T09112,2022-01-03,IT Services,Central,open,V0069,V0069|V0149|V0222|V0285|V0338|V0364,6,319.52,326.21,303.5,1,304.84,301.45,13,V0069:303.50|V0149:319.17|V0222:322.96|V0285:331.92|V0338:326.98|V0364:312.74,0,,1,0,0.0,-1.1120587849363557,0.9498622934401603,0.9303822690904633
T09166,2022-01-03,Construction,South,open,V0053,V0053|V0206|V0326,3,483.93,454.61,439.68,1,443.98,458.62,20,V0053:439.68|V0206:478.48|V0326:503.81,0,,0,0,,3.29744583089328,0.9085611555390243,0.9671586634697873
T00037,2022-01-04,IT Services,West,open,V0323,V0059|V0075|V0323,3,330.29,336.16,293.14,1,297.14,295.62,35,V0059:313.99|V0075:317.95|V0323:293.14,0,,0,0,,-0.5115433802248038,0.8875230857731083,0.8720252260828176
T00094,2022-01-04,Consulting,North,restricted,V0246,V0062|V0080|V0246|V0397,4,287.27,273.16,273.18,1,272.06,281.16,23,V0062:298.30|V0080:287.86|V0246:273.18|V0397:291.77,0,,0,0,,3.3448504006469246,0.9509520660006267,1.0000732171621027
T00350,2022-01-04,Construction,North,restricted,V0174,V0174|V0284,2,323.23,304.72,287.1,1,290.18,288.42,9,V0174:287.10|V0284:290.44,0,,1,0,0.0,-0.6065200909780105,0.8882220090956904,0.9421764242583355
T01428,2022-01-04,Transport,Central,open,V0046,V0046|V0051|V0195|V0200|V0332|V0366|V0388,7,1396.95,1479.01,1232.74,1,1245.02,1288.13,15,V0046:1232.74|V0051:1383.62|V0195:1354.16|V0200:1460.11|V0332:1388.11|V0366:1240.97|V0388:1314.93,0,,0,0,,3.462594978393932,0.8824510540821074,0.8334899696418551
T01446,2022-01-04,IT Services,North,open,V0004,V0002|V0003|V0004|V0005,4,272.46,289.62,264.1,1,264.1,274.49,25,V0002:277.91|V0003:267.23|V0004:264.10|V0005:268.52,0,,1,0,0.0,3.934115865202569,0.9693165969316598,0.9118845383606106
T01589,2022-01-04,IT Services,West,open,V0325,V0075|V0092|V0156|V0282|V0318|V0325|V0387,7,151.76,146.33,133.6,1,135.17,133.17,29,V0075:146.82|V0092:137.62|V0156:142.89|V0282:144.22|V0318:144.18|V0325:133.60|V0387:140.09,0,,1,0,0.0,-1.4796182584893098,0.8803373748023194,0.9130048520467435
T02017,2022-01-04,Consulting,Central,open,V0024,V0024|V0064|V0125|V0145|V0170|V0327|V0337|V0377,8,35.34,36.88,31.92,1,32.37,34.89,21,V0024:31.92|V0064:32.12|V0125:33.05|V0145:33.01|V0170:32.82|V0327:32.12|V0337:36.93|V0377:35.40,0,,0,0,,7.78498609823912,0.9032258064516129,0.8655097613882863
T02034,2022-01-04,IT Services,North,open,V0243,V0152|V0243|V0288,3,420.53,388.75,381.32,1,380.15,386.93,23,V0152:403.37|V0243:381.32|V0288:388.10,0,,1,0,0.0,1.7835065105879337,0.9067605164910946,0.9808874598070739
T03398,2022-01-04,Medical Supplies,West,open,V0007,V0006|V0007|V0008,3,660.87,643.64,685.62,1,685.62,679.25,18,V0006:709.41|V0007:685.62|V0008:697.52,0,,1,0,0.0,-0.929086082669701,1.0374506332561624,1.0652227953514388
T04097,2022-01-04,Transport,Central,negotiated,V0383,V0118|V0345|V0375|V0383,4,1176.47,1220.53,1051.96,1,1061.35,1126.06,22,V0118:1109.55|V0345:1212.67|V0375:1210.64|V0383:1051.96,0,,1,0,0.0,6.096951995100584,0.8941664470832236,0.8618878683850459
T04857,2022-01-04,IT Services,West,open,V0014,V0014|V0027|V0139|V0235|V0313,5,98.72,93.24,88.83,1,88.7,94.9,8,V0014:88.83|V0027:102.74|V0139:99.15|V0235:92.42|V0313:94.42,0,,0,0,,6.989853438556937,0.8998176661264181,0.9527027027027027
T04876,2022-01-04,Medical Supplies,West,negotiated,V0358,V0053|V0238|V0358,3,178.92,176.01,168.24,1,171.17,176.41,8,V0053:179.57|V0238:169.22|V0358:168.24,0,,1,0,0.0,3.061284103522819,0.9403085177733066,0.9558547809783536
T05029,2022-01-04,Transport,West,open,V0316,V0106|V0253|V0316,3,513.96,489.44,471.26,1,473.03,480.68,29,V0106:515.51|V0253:512.50|V0316:471.26,0,,1,0,0.0,1.617233579265593,0.9169196046384932,0.9628555083360575
T05158,2022-01-04,Transport,South,open,V0023,V0023|V0111,2,1947.77,1842.18,1832.96,1,1832.96,1824.32,22,V0023:1832.96|V0111:1988.92,1,low_bid_count,0,0,,-0.47136871508380435,0.941055668790463,0.9949950602004147
T05321,2022-01-04,Transport,East,restricted,V0109,V0109|V0282,2,860.9,805.18,760.81,1,774.21,765.03,25,V0109:760.81|V0282:805.50,0,,1,1,1.0,-1.185724803347937,0.8837379486583807,0.9448943093469783
T06005,2022-01-04,IT Services,East,open,V0001,V0001|V0137|V0275|V0282|V0330|V0353|V0373,7,479.52,469.65,425.12,1,425.12,429.63,26,V0001:425.12|V0137:430.99|V0275:428.44|V0282:429.33|V0330:430.79|V0353:433.11|V0373:430.36,0,,0,0,,1.0608769288671411,0.8865532198865532,0.905184712019589
T06535,2022-01-04,Consulting,Central,open,V0344,V0038|V0084|V0190|V0227|V0344,5,37.27,37.21,35.99,1,35.68,35.97,8,V0038:37.87|V0084:38.39|V0190:36.21|V0227:38.95|V0344:35.99,0,,0,0,,0.8127802690582936,0.9656560236114837,0.9672131147540984
T08181,2022-01-04,Transport,Central,open,V0202,V0125|V0202|V0274,3,260.57,259.43,262.93,1,261.15,268.11,14,V0125:270.14|V0202:262.93|V0274:264.46,0,,2,0,0.0,2.6651349798966253,1.0090570671988335,1.0134911151370312
T08346,2022-01-04,Transport,South,restricted,V0321,V0111|V0187|V0321|V0400,4,156.19,153.4,140.21,1,140.62,138.92,23,V0111:141.66|V0187:158.08|V0321:140.21|V0400:143.74,0,,1,1,1.0,-1.2089318731332792,0.8976887124655869,0.9140156453715776
T09156,2022-01-04,Construction,East,open,V0344,V0017|V0027|V0031|V0048|V0179|V0242|V0344,7,3880.72,3669.33,3474.61,1,3474.9,3616.86,34,V0017:3765.75|V0027:3802.25|V0031:3896.24|V0048:3950.96|V0179:4039.68|V0242:3902.62|V0344:3474.61,0,,0,0,,4.085297418630753,0.8953518934630688,0.9469330913272996
T09256,2022-01-04,Medical Supplies,East,open,V0296,V0196|V0231|V0296,3,481.05,472.22,441.51,1,444.71,473.03,14,V0196:477.78|V0231:494.24|V0296:441.51,0,,0,0,,6.3681950034854164,0.9178048019956345,0.934966752784719
T09951,2022-01-04,Transport,South,restricted,V0246,V0218|V0246,2,859.61,917.25,821.06,1,828.42,891.6,7,V0218:882.33|V0246:821.06,0,,0,0,,7.626566234518731,0.9551540815020765,0.8951321886072499
T01201,2022-01-05,Consulting,South,restricted,V0111,V0111|V0182|V0190|V0399,4,270.25,250.38,256.33,1,258.97,269.11,29,V0111:256.33|V0182:275.95|V0190:277.20|V0399:280.73,0,,2,0,0.0,3.915511449202605,0.9484921369102682,1.0237638789040657
T02855,2022-01-05,Transport,North,open,V0352,V0023|V0052|V0301|V0352,4,287.16,274.98,266.59,1,271.5,288.74,32,V0023:283.56|V0052:275.83|V0301:281.12|V0352:266.59,0,,1,0,0.0,6.349907918968696,0.9283674606491154,0.9694886900865516
T03685,2022-01-05,Medical Supplies,West,negotiated,V0144,V0105|V0144,2,76.68,76.02,75.02,1,74.4,75.24,13,V0105:80.50|V0144:75.02,0,,1,0,0.0,1.1290322580645016,0.9783515910276472,0.9868455669560642
T04519,2022-01-05,Medical Supplies,East,negotiated,V0308,V0290|V0308,2,403.7,421.98,390.91,1,396.73,414.22,10,V0290:421.38|V0308:390.91,0,,0,0,,4.40853981297104,0.9683180579638346,0.9263709180529883
T05726,2022-01-05,IT Services,North,negotiated,V0349,V0204|V0349|V0356,3,289.06,286.27,263.21,1,266.08,274.33,18,V0204:295.12|V0349:263.21|V0356:300.64,0,,2,0,0.0,3.1005712567648827,0.9105721995433473,0.9194466762147623
T07112,2022-01-05,Transport,East,open,V0231,V0016|V0155|V0157|V0205|V0231|V0284|V0291|V0305,8,686.93,713.0,611.33,1,618.59,610.72,33,V0016:666.66|V0155:616.88|V0157:613.68|V0205:648.13|V0231:611.33|V0284:657.18|V0291:719.40|V0305:650.79,0,,3,0,0.0,-1.2722481773064558,0.8899451181343079,0.857405329593268
T07671,2022-01-05,Medical Supplies,South,open,V0194,V0194|V0216|V0368|V0370|V0374|V0393,6,483.0,497.28,426.42,1,429.23,460.56,19,V0194:426.42|V0216:490.06|V0368:471.26|V0370:461.80|V0374:491.82|V0393:451.74,0,,0,0,,7.299117023507207,0.8828571428571429,0.8575048262548264
T07789,2022-01-05,Medical Supplies,East,open,V0089,V0031|V0089|V0111|V0134|V0163|V0225|V0295,7,696.28,719.68,621.59,1,624.36,612.1,33,V0031:640.40|V0089:621.59|V0111:673.67|V0134:723.21|V0163:649.18|V0225:638.71|V0295:720.41,0,,0,0,,-1.9636107373950913,0.8927299362325503,0.8637033125833705
T08350,2022-01-05,Construction,Central,open,V0090,V0090|V0119|V0358|V0388,4,3197.62,3108.68,3138.23,1,3114.72,3337.95,35,V0090:3138.23|V0119:3291.17|V0358:3243.40|V0388:3314.81,0,,0,0,,7.166936353829559,0.9814268111908232,1.009505642266171
T08491,2022-01-05,Transport,West,open,V0038,V0038|V0056|V0266,3,552.77,571.12,504.26,1,510.46,543.14,20,V0038:504.26|V0056:515.44|V0266:538.36,0,,1,0,0.0,6.402068722328881,0.9122419812942092,0.882931783162908
T09587,2022-01-05,Construction,West,restricted,V0395,V0192|V0278|V0284|V0395,4,3783.64,3828.07,3447.27,1,3415.53,3616.75,31,V0192:3753.14|V0278:3471.27|V0284:3960.16|V0395:3447.27,0,,0,0,,5.891325797167637,0.9110988360414839,0.900524285083606
T09648,2022-01-05,IT Services,South,restricted,V0299,V0061|V0299,2,130.17,127.4,124.36,1,123.89,127.19,34,V0061:126.24|V0299:124.36,0,,0,0,,2.6636532407781073,0.9553660597679958,0.9761381475667189
T09702,2022-01-05,IT Services,Central,open,V0048,V0048|V0058|V0334|V0364,4,400.61,372.65,372.9,1,374.66,370.59,28,V0048:372.90|V0058:416.26|V0334:401.91|V0364:409.86,0,,1,0,0.0,-1.0863182618907943,0.9308304835126431,1.0006708707902858
T00079,2022-01-06,Medical Supplies,West,open,V0053,V0043|V0047|V0053|V0080|V0086|V0323|V0373,7,277.77,258.38,259.41,1,263.11,283.83,25,V0043:269.33|V0047:279.63|V0053:259.41|V0080:283.02|V0086:277.29|V0323:261.44|V0373:266.99,0,,2,1,0.5,7.87503325605259,0.9339021492601794,1.00398637665454
T01002,2022-01-06,Transport,North,open,V0120,V0120|V0168|V0196,3,1642.53,1773.08,1465.93,1,1474.97,1506.85,16,V0120:1465.93|V0168:1686.75|V0196:1582.22,0,,1,0,0.0,2.161399892879169,0.8924829379067658,0.8267703656913394
T02199,2022-01-06,Medical Supplies,Central,open,V0394,V0141|V0232|V0240|V0325|V0360|V0362|V0394,7,172.82,170.1,162.68,1,165.02,170.57,19,V0141:165.29|V0232:173.61|V0240:178.56|V0325:165.17|V0360:170.63|V0362:176.44|V0394:162.68,0,,0,0,,3.3632286995515592,0.9413262353894226,0.9563786008230454
T03161,2022-01-06,Consulting,North,open,V0202,V0010|V0052|V0100|V0127|V0202|V0341|V0390,7,87.65,84.04,77.14,1,76.83,80.8,8,V0010:79.32|V0052:79.15|V0100:88.94|V0127:84.75|V0202:77.14|V0341:83.53|V0390:78.61,0,,3,1,0.3333333333333333,5.1672523753742015,0.8800912721049629,0.9178962398857686
T03489,2022-01-06,Medical Supplies,South,open,V0077,V0077|V0268|V0307,3,474.23,477.15,435.3,1,431.81,452.36,28,V0077:435.30|V0268:484.26|V0307:492.44,0,,0,0,,4.759037539658649,0.9179090314826139,0.9122917321596983
T04644,2022-01-06,IT Services,North,open,V0070,V0070|V0241|V0269|V0392,4,395.37,407.87,362.09,1,363.68,366.93,33,V0070:362.09|V0241:368.77|V0269:367.91|V0392:366.15,0,,1,1,1.0,0.8936427628684558,0.9158256822723018,0.8877583543776203
T04955,2022-01-06,IT Services,South,open,V0002,V0002|V0003|V0004|V0005,4,298.61,284.3,283.71,1,283.71,286.46,21,V0002:283.71|V0003:294.69|V0004:287.21|V0005:291.74,0,,2,0,0.0,0.969299636953227,0.9501021399149391,0.997924727400633
T05678,2022-01-06,Medical Supplies,North,open,V0240,V0240|V0256|V0270|V0358,4,440.15,413.28,392.77,1,390.54,401.47,25,V0240:392.77|V0256:393.89|V0270:448.85|V0358:446.20,0,,0,0,,2.7986889947252536,0.8923548790185164,0.9503726287262872
T06527,2022-01-06,Construction,West,open,V0191,V0063|V0109|V0191,3,4136.45,4008.31,3871.23,1,3943.2,4059.8,11,V0063:3957.57|V0109:3989.09|V0191:3871.23,0,,0,0,,2.9569892473118373,0.9358822178438033,0.9658010483221108
T06789,2022-01-06,Medical Supplies,East,restricted,V0027,V0027|V0199,2,230.69,247.39,212.09,1,211.84,214.14,30,V0027:212.09|V0199:225.37,0,,2,0,0.0,1.085725075528693,0.9193723178291213,0.8573103197380655
T07362,2022-01-06,Medical Supplies,Central,open,V0370,V0124|V0149|V0159|V0286|V0291|V0370|V0386,7,570.36,589.91,556.56,1,563.41,599.0,32,V0124:562.03|V0149:569.05|V0159:578.15|V0286:557.56|V0291:577.99|V0370:556.56|V0386:579.58,0,,1,0,0.0,6.316891783958402,0.9758047548916473,0.943465952433422
T07809,2022-01-06,Construction,West,open,V0169,V0162|V0169|V0173|V0204,4,301.97,310.87,270.56,1,269.81,268.36,12,V0162:271.36|V0169:270.56|V0173:298.37|V0204:291.01,0,,0,0,,-0.5374152181164481,0.8959830446733118,0.8703316498858044
T08782,2022-01-06,Consulting,East,open,V0073,V0073|V0176|V0185|V0252|V0341,5,31.82,30.54,29.53,1,29.99,31.46,20,V0073:29.53|V0176:31.16|V0185:32.14|V0252:29.65|V0341:31.53,0,,0,0,,4.901633877959328,0.9280326838466374,0.966928618205632
T08862,2022-01-06,Consulting,East,open,V0328,V0011|V0029|V0248|V0328,4,299.26,306.99,276.64,1,280.35,291.78,31,V0011:307.17|V0029:291.95|V0248:300.15|V0328:276.64,0,,0,0,,4.077046548956644,0.9244135534317984,0.9011368448483663
T00332,2022-01-07,Medical Supplies,East,restricted,V0219,V0155|V0219|V0282,3,261.01,248.82,231.98,1,232.82,231.59,6,V0155:272.87|V0219:231.98|V0282:260.53,0,,0,0,,-0.5283051284253887,0.8887782077315045,0.9323205530102082
T00607,2022-01-07,Medical Supplies,East,open,V0284,V0037|V0144|V0248|V0284,4,732.63,753.19,655.96,1,668.35,709.01,32,V0037:764.13|V0144:755.80|V0248:744.47|V0284:655.96,0,,4,0,0.0,6.083638811999696,0.8953496307822503,0.8709090667693411
T01243,2022-01-07,IT Services,East,open,V0065,V0065|V0137|V0242|V0276,4,455.8,446.56,434.91,1,442.48,472.4,12,V0065:434.91|V0137:460.03|V0242:472.97|V0276:474.60,0,,2,1,0.5,6.7618875429397844,0.9541684949539272,0.97391168040129
T02525,2022-01-07,IT Services,Central,open,V0202,V0031|V0087|V0094|V0202|V0288,5,498.72,527.89,443.8,1,452.47,458.95,17,V0031:486.91|V0087:483.75|V0094:454.86|V0202:443.80|V0288:468.27,0,,4,2,0.5,1.4321391473467768,0.8898780879050369,0.8407054499990528
T02931,2022-01-07,Consulting,North,open,V0008,V0006|V0007|V0008,3,288.13,281.43,273.3,1,273.3,271.45,33,V0006:278.49|V0007:283.68|V0008:273.30,0,,2,0,0.0,-0.6769118185144612,0.9485301773505016,0.9711118217674022
T03568,2022-01-07,Medical Supplies,South,restricted,V0111,V0111|V0254|V0339|V0399,4,296.67,287.34,269.38,1,269.96,272.46,32,V0111:269.38|V0254:306.00|V0339:286.02|V0399:305.06,0,,4,1,0.25,0.9260631204622907,0.9080122695250614,0.937495649752906
